ID,up_votes,down_votes,age,gender,transcription
002e50c29ac2890c7cb3b3d63dcbe512bc6850de206ca80477704628fb1194de25fb31484fd3ef7ec27efbe87524a8d325c9e7e08d5b1e9f2b0ca2a19fe12089,2,0,,,Malicka
0031672b4484f963c8a07babe6f713dd559539d44140e80ac19708db36d9712d81dd5b170c016f65bbd6763372c35bfc984a55448e356f3161dbf8d7c28aa047,2,0,twenties,female,Ecole Elementaire Pikine Nord
00362ccc6b48d3ea225e12ddf8a06a9d582cccc03b0353766f89f76ac6dd5b137f625f8b032b90fd46d624dd3d1397c1f2c2c68d13fd576f45b65b2b072fc9b7,2,0,twenties,male,Cimetière de Cambérène
0042cdb4d4a015cddacc26d88faffdd714b7a27213d2b30cc55c99b2e874fd58efc33a49ee26e6532f8d0540670457f02d63b1e22e4dfba462027ff9f29e67cb,2,0,twenties,male,Tournalou Boune
00439f02fa8f0dade934bdb317199b71662e9396f6bb8188ec735b25a83456ec761513edbafc64bc10d38e26be6428efe176e48d830f8f3afcf5938c061b3137,2,0,twenties,male,Pharmacie Golf Sud
00449100b205f8244174936b580e4084968ab7bbd738d09143104eb64dfc95f8936f67a61cd6da0e30b1eeea79dcce4d4307c89283d0d06234602aaa7f62f93a,2,0,twenties,female,Gare Feroviére de Dakar
004bb970ff5217dc663cd9d69cf6dccc8b4197062ad48d698abc13661dc455d62f5a052a3e9812bfc2e97b6eb800fc28ecbab8f5e09187ebd1d9ce6c94c27a59,2,0,teens,male,Ouakam
004bc77cc17a10c3964932a6e5acaa7494023d8fca26ac66c4a834841d0765ca726d2e7b48d91de43ffb198426d3cb6b78458293380fb8c3cc5f318e49722392,2,0,,,Mangazin
004eb9d3868f15c4d909147ef19b8a7b02140f481c18290f50ff0f3292e74e85e986532b86455a42e1572bf6623e735b0ce316330965f7d1eaa9ef0f26e616cd,3,0,twenties,male,Mairie de la ville de Dakar
005cea38ff6e71a7d1047aba774790ad04336b73fed6c02ebd144060725ada6861acf7821c9abfa408067dd345078c2eb74e34535e690957ade04ea985a13bff,2,1,twenties,male,Collège Sacré Cœur
00753f65ccd6d3c580b90bafc7e0bd613502b9b400186b7ff9f1e8ae8a7130a85a6c0eee84afa5491a475c48ad204d2eecc0ae1059ee33362f4c689c6c395325,2,0,,,ban car mooy jaar
00760afb46c742467eb01a104566d12837a9dd40a90a33ae2467ba30dbd9084a236d5971742cc0a1576205a62c01f563c54cc23bf20eb783a49598de5c805a72,2,0,twenties,male,Echangeur Fann
0085e1f567d281b7a9ae9fd4aebdb6b56b05b1a7483a8402ad1a60b6901b1238359b8f2e88f0b9e0de84076d8d3d6b119338ef5ad3b8cdb48ed56e746b04f170,2,0,twenties,male,Marché bou Béss
00892640235e421b32f620ee56ad3c76e9b6a0769f889c8551627ec72998a7fefbfee24a60973954962dda250a71066d7bd3ae4e5ee9d28dbb84ccc95a2cc0d1,2,0,twenties,female,dama bëgg dem Cité Mame Sira
0091bff0f2506b8869555aed5ca7870a1848e4d57e7bdbe40d8ad4c72547873c36bd526827a2d9051d82daaef5e55a322af037fe096e3c297804b1f7a97830b0,2,0,twenties,female,Assemblee Nationale
0093a8ba66abda4675644ef74a8e1cab55d38d71049d6b968a4c935bc206ac4c32b9e5eaacd3ddd926aed927a6581629f57a85ac129bd032c32dc9616bbf15d4,2,0,twenties,male,Ecole Zola
009c99482f7d628a32bfcddfa6d04640265344aa6082aedcb55e48052e0a17a4e98f92fe327c6c132c4814551d6501e4f4d90118a9a985bfe6fa603f73e6684f,2,0,twenties,male,Soumbédioune
009ec9a9068f3fe550e6cb9c809ebbfa4ba4c478703c1d1ea953e1d06b56f2455c7e850d902cc0ef0a8fa57648aee6d0bf70d062b8d2e836f2d5a766ead33788,2,0,twenties,female,Lycée Thierno Seydou Nourou Tall
00a5212516df8e9df45ebdc607d6e9eba3980b69f63cf5da3b0c6e80acca7f09c6e4813d4ac6265ce5b3c84068ae3ad767d91c19750b51815a5a13daa4cf4a51,2,1,twenties,female,nan laay def ba dem Station Shell Keur Massar
00aeca7b0b7f393edd0669335f48b92af3ac012a9d45b449de6093ca9e359d358db3a1e726a818fccb8d8f2c6cac841c4c0d4715c98d5a55af68506d6db5f67b,2,0,twenties,male,Station Elton Colobane
00b2facce19626c53b6cdfe0b57310a68a682fbc5f789434c4bc4e86013222269ef41b654f5359c2464e18cf81d56a066a96b23f7560f1a50d62bc1d0bb38f1b,2,0,twenties,male,dama bëgg dem LY-MO-DAC
00cf29ae5c84581c91934469efbd890e913e0f42c9c9674b32be97db0b09ebaa0a7a8ca2ea0bbef749d8b3024578d395752e376006beffc5a723070c6311f143,2,0,twenties,male,SDE Rufisque
00d21c617ab63919239ba607eef667b4c1bcc8990c818550be36065e024b32ab81caa1bc7848fbfa05e11b8aac820f3d505075b4b709378b61b7b8dd85e36c57,2,0,twenties,male,Station shell icotaf
00d4dfe6a01e2eade5f94950325fff88353c1539006fe7bfa65996c5d630cff2c6bb24f3af025037a7369f2db585d0b4958742eeb3a073a97cd7b429a636bc28,2,0,twenties,male,Terminus Cité Serigne Mansour
00dd95cb535042ce3d3590f27bb45f2c18246a9667b8b94efe322fd875918c610f6ddda15c58ff1463056ebca36f137a217bf7a36fe1a18c4ef919f5353c2060,2,0,twenties,male,LGI Mbao
00e47127c5d7124a312909f6ee7a45d42b042cb3deaee874546b1c14fc906d4fa26942429f0206a2818ff7dcba255c78784d20de8492506d26b9f458edb590c3,2,0,twenties,female,SDE Rufisque
00f3eabdee2582c04897db3885a2712cee6b0e31b15456870dc73b0c67ea0ea0f1bc3c717d1f94559026ae319567b4d5cbe8f720e1b18c703523573e3abec294,2,0,twenties,male,Soumbédioune
00f836c40483bdc8ef76f3ed904a3216d91dc04e3aa1e1fb548d96eed0fbe00238f1b59a3b9a9d68bf02642c2f3a49c6088d6154a934fc9c0c62172f12675f69,2,0,twenties,male,Route de fann
01081b50eac5d8fe948705fe4e1783645b6e1ef49655ca518c450f30a80fc36ed49cb9f90df0c1f66623437878623beedf61d8b96308a43e15514502c20333c4,2,0,twenties,male,Western Union Marché Ndiaréme
01149a055891fabc8ce23689a9da0a754c304b571b4fd05bfb0c5550602d5c19b7caf2eb50cd252026aaaa2dd07ea50dd10ce4a32fde4773dd50d2d58849b130,3,0,twenties,male,Complexe Xelcom Bache
011715bf0a9f7ffd9cd11fc35b581981403eec068f7b9fbcfe8f7f0383d61c18c135cbc7cc6b82f1be088ff9c0bc6d44f6ccb0a8a0cf488c1b0b6a1eec2addac,2,0,teens,male,Brioche Dorée Ouakam
011b27f983bd76525029ddb070ed2e7a361004333421a6d0f0643105cddcf2218ff32519aa22f6709208b458dbdd96b7d5fceee602e8da5a0782e92a52699e24,2,0,teens,male,SDE Rufisque
01252ff592711e3516585e664d1eaa5c06f4904c6ed85e18e196a161c094f9c4b248bc7322c7dccc0057c2be60eba44107f453dbab9a5243c148880d7481299a,2,0,twenties,male,Mangazin
0165fb75a7d920d7b0db0de67980364bd1cdb109bce646dfd76c58ae9913c76eb5d9834e1cd54ba987213a413935a0aa3502803e7b626cae3b8e1fdb8d8a2efe,2,0,twenties,male,SDE Rufisque
01744d0ff7a517f60698a872f66e0dde800634cab7932ffe90df6a2b157c316ae8d88ff455f2c54b5eaaad2dc6a30bb0981168a0164d6ec0459c9e99c30fd9e0,2,0,teens,male,Edk oil Bargny
017cf3c4e694e229a8acdcbe586db326d50ce9b47621ed5227cdfe799bd1cc51f9cce9f773799ed63fb189c3dc546f4e2ce9e049f2578dcb2227f36b16eea8f5,2,0,twenties,male,Garage Keur Massar
018bc8984b78c50f15d04358ca0e7ebdc97b14e5d16f559be91ea1ac88770ecb2a703cf0cfee04e5797cc5efcfb9cb3040898a5d026ea789525745e6660b3e45,2,0,,,Imprimerie Tandjan
018c317820fb8e91d7c2aeedd8ee063f35843f96ef520bc53053ab6d898ced06e0dd3cc4cb3fadc08c8f238f6e80910c8d5e6ebd42762a1b40c83923bbf47d35,2,0,twenties,female,Dioutiba
018f104874432de19d1023eb2fd4954f940462813bc4da6637472d47c6c9d042a2da6e91cf181c35661b7c5b0b458f1ac79ca9335735d6dba41d709a636e5649,2,0,,,Station Total Keur Massar
0194b80c2b5166fdfdf946e9fc4696eb47c16813a3e531e673f8cb7712f99ec94b5e496b0501633f2250590d00aa456f4e61b7338e3835f24be941426191db04,2,0,twenties,male,Garage Grand Yoff
019af65cd431dc3169186016fed374d9184de56896532c835ed1221f1821b5a63193b41017cd7b4a78a3a6f5a2a4201e7cb7dfc568cfaf3f7e0459d0ea1e2202,2,0,twenties,male,Boulangerie marché mame Diarra
019c685d57120ff1901f42fbe9bf14a9de0ddfe7d8a27cc48c22ce22ce7e6f203fc348c2dc7191cb23abf9d0214316fa15f9a76ddcfcf4473f53c1125f9544bd,2,0,twenties,male,Terminus gare routiere Colobane
019ed0b9147496f1236bd22891c5ce17e30341145750d81a99163825ca312014173170d2b7237c87972fe858fd6c7c40e0e1f2d939af75db6fd2e5b2756052e4,2,0,twenties,male,AXA Assurance Place de l'independance
01ad90121748573df0e16d9b50b274fafc824aa973cfbb9106a5665897a934f6615f07393c889bc6f4f7595bd4047a6da94850f20841a70a6ee091d326576a93,2,0,twenties,male,SDE Yoff
01e0ad578a044eb399795a45fd9755724bd5b155ba508c14b6c905f9fd1da508918e1dee2907a7ccb4bb8ce0b3ec0962dd27ea35f755a5a5b8e278b7dff7d0a7,2,0,twenties,male,Police de Thiaroye
01e43ba4287deda8a7cf0ac83e6e8dfa590806c96af4a83226833c18f240931e197220b10391fe0fb553706bb7122648ddce2398fcd2fb4e03e0335829b6751d,2,1,twenties,female,Terminus Lac rose
01ff358321239df4cc3c6a8740132206c2357f4e594c999bf9eea5ed909c082ac77925bd0b2f307ea8a6a16e6c74cbdafa2abe9f19a74825a4a167e3892c971c,2,0,,,CICES Foire de Dakar
0202bf20bd5430348f598220e62ef55d4079733f5fbf1831a7b3df4b296dce7c00461a4e561b648c2393cf36e7d1f0c45ccb1378ae499e5c03c8c07058c85867,2,0,twenties,male,passage par Dupont et Demba
02064724735907f34270dd30853d80ee8a8ebca51c533f0f77c91f8d3a59c9aa64141ae53b3d7186ae889b6d28fdb2a4f788b571a5f515a77ab0259bcaac167c,2,0,twenties,female,Université Virtuel du Sénégal
021170726ff7eb36957d1208daf2718b4986e1aff73cdaa3946277aa13cea6dfca2238a8bb578e7a0ce14caf9d95701c99aae63d39e306ec75a6339154df7efb,2,0,,,BEM Dakar
